"lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox"
"rQ4_r","|","t2","",-0.14182036435999,0.0877287366438679,-1.61657821354142,0.105969357819611,-0.31376552859117,0.0301247998711904,-0.14182036435999,-0.110760386166949,-0.110760386166949
"rQ4_r","|","t3","",0.466407915801506,0.0881950693346891,5.2883672445627,1.23413009367468e-07,0.293548756291502,0.639267075311509,0.466407915801506,0.364260246394281,0.364260246394281
"rQ4_r","|","t4","",1.79991471531451,0.118904260089935,15.1375124318769,0,1.56686664792986,2.03296278269917,1.79991471531451,1.40571666019533,1.40571666019533
"rQ6_r","|","t1","",-1.87287026745656,0.13803534380325,-13.5680487029907,0,-2.14341456990454,-1.60232596500859,-1.87287026745656,-1.34155930276208,-1.34155930276208
"rQ6_r","|","t2","",-0.494976661000591,0.0996230750791747,-4.96849410246785,6.74748520612667e-07,-0.690234300184904,-0.299719021816279,-0.494976661000591,-0.354557683868435,-0.354557683868435
"rQ6_r","|","t3","",0.293996391595644,0.0945841308997068,3.10830568298382,0.00188163336835356,0.108614901523197,0.479377881668092,0.293996391595644,0.210593120611205,0.210593120611205
"rQ6_r","|","t4","",1.77612271519572,0.129579538718557,13.7068146156424,0,1.52215148617404,2.03009394421741,1.77612271519572,1.27225787755912,1.27225787755912
"dQ3D","~~","dQ3D","",1,0,NA,NA,1,1,1,0.725482035784263,0.725482035784263
"dQ5D","~~","dQ5D","",1,0,NA,NA,1,1,1,0.750844160308611,0.750844160308611
"dQ10D","~~","dQ10D","",1,0,NA,NA,1,1,1,0.505649414875257,0.505649414875257
"dQ13D","~~","dQ13D","",1,0,NA,NA,1,1,1,0.458209327859488,0.458209327859488
"dQ16D","~~","dQ16D","",1,0,NA,NA,1,1,1,0.662128363588841,0.662128363588841
"dQ17D","~~","dQ17D","",1,0,NA,NA,1,1,1,0.541634875061185,0.541634875061185
"dQ21D","~~","dQ21D","",1,0,NA,NA,1,1,1,0.51689488897806,0.51689488897806
"dQ2A","~~","dQ2A","",1,0,NA,NA,1,1,1,0.901115021493945,0.901115021493945
"dQ4A","~~","dQ4A","",1,0,NA,NA,1,1,1,0.746399844330013,0.746399844330013
"dQ7A","~~","dQ7A","",1,0,NA,NA,1,1,1,0.703186900082174,0.703186900082174
"dQ9A","~~","dQ9A","",1,0,NA,NA,1,1,1,0.534401764072744,0.534401764072744
"dQ15A","~~","dQ15A","",1,0,NA,NA,1,1,1,0.410865283274702,0.410865283274702
"dQ19A","~~","dQ19A","",1,0,NA,NA,1,1,1,0.680385204585024,0.680385204585024
"dQ20A","~~","dQ20A","",1,0,NA,NA,1,1,1,0.603261985108289,0.603261985108289
"dQ1S","~~","dQ1S","",1,0,NA,NA,1,1,1,0.906368422679025,0.906368422679025
"dQ6S","~~","dQ6S","",1,0,NA,NA,1,1,1,0.688994505298913,0.688994505298913
"dQ8S","~~","dQ8S","",1,0,NA,NA,1,1,1,0.581488054702723,0.581488054702723
"dQ11S","~~","dQ11S","",1,0,NA,NA,1,1,1,0.515735468000833,0.515735468000833
"dQ12S","~~","dQ12S","",1,0,NA,NA,1,1,1,0.671543668304368,0.671543668304368
"dQ14S","~~","dQ14S","",1,0,NA,NA,1,1,1,0.842238538036555,0.842238538036555
"dQ18S","~~","dQ18S","",1,0,NA,NA,1,1,1,0.668325502591413,0.668325502591413
"rQ1","~~","rQ1","",1,0,NA,NA,1,1,1,0.842754742182449,0.842754742182449
"rQ3","~~","rQ3","",1,0,NA,NA,1,1,1,0.673800363713222,0.673800363713222
"rQ5","~~","rQ5","",1,0,NA,NA,1,1,1,0.89390204985814,0.89390204985814
"rQ2_r","~~","rQ2_r","",1,0,NA,NA,1,1,1,0.679358331276832,0.679358331276832
"rQ4_r","~~","rQ4_r","",1,0,NA,NA,1,1,1,0.609946479336862,0.609946479336862
"rQ6_r","~~","rQ6_r","",1,0,NA,NA,1,1,1,0.513102770994281,0.513102770994281
"Dep","~~","Dep","",1,0,NA,NA,1,1,0.684105071526119,0.684105071526119,0.684105071526119
"Anx","~~","Anx","",1,0,NA,NA,1,1,0.74951666066192,0.74951666066192,0.74951666066192
"Str","~~","Str","",1,0,NA,NA,1,1,0.727825823225639,0.727825823225639,0.727825823225639
"BRS","~~","BRS","",1,0,NA,NA,1,1,0.997983078150304,0.997983078150304,0.997983078150304
"RES_Suburb_Semi_Urban","~~","RES_Suburb_Semi_Urban","",0.179037819495375,0,NA,NA,0.179037819495375,0.179037819495375,0.179037819495375,1,0.179037819495375
