"id","gender","academic_year","residence","Dep","Anx","Str","BRS"
702,"Male","2nd Yr","Suburb/Semi-Urban",-1.60999558256438,-2.65687699400341,-2.09467642975283,1.76407285919815
703,"Female","2nd Yr","Rural",-0.427001740979068,-0.421607797370752,-0.0386505755863883,0.887637624054102
705,"Male","2nd Yr","Suburb/Semi-Urban",0.0838657910415749,-1.59449109728298,-1.10667744932181,-0.25302889078211
706,"Male","2nd Yr","Suburb/Semi-Urban",0.136918307218703,-1.19100535201919,-0.961158288957479,-0.677725347129246
708,"Female","2nd Yr","Urban",-0.415074519158895,-0.220269099300079,-0.0462713908648188,-0.19138920664926
709,"Female","2nd Yr","Suburb/Semi-Urban",1.99444008320274,1.34055915847136,1.58988298863301,-1.31337070258921
710,"Male","2nd Yr","Suburb/Semi-Urban",0.65552503779652,-0.208024283616526,0.374017894589037,-0.0392078949004049
712,"Male","2nd Yr","Urban",0.138555478687479,-0.940845477877466,-0.279713758988162,0.621804022145453
713,"Male","2nd Yr","Suburb/Semi-Urban",0.485337589134331,-0.955835616255281,-0.0483066770791851,-0.232354530816787
716,"Female","1st Yr","Urban",-1.24935905185774,-1.13878902017803,-0.800803109127183,0.592864166899269
717,"Female","1st Yr","Rural",-0.593904869391522,0.0201579326612047,0.117808957013479,-0.115423750391903
718,"Female","1st Yr","Suburb/Semi-Urban",-0.500568686922256,0.495673381544542,0.687854849607028,0.0801104342135507
720,"Female","1st Yr","Urban",-1.8191567688329,-1.58051156148876,-1.3308896235156,1.33041672534807
721,"Female","1st Yr","Rural",-1.63521182702707,-1.04151832552815,-0.817474875751469,0.561127108952052
722,"Female","1st Yr","Urban",-2.35148135453841,-1.93477112208136,-1.86873533456637,1.31700287853809
736,"Male","1st Yr","Rural",-0.845987046647558,-1.20023217304454,-0.910703221229138,-0.654369641232396
738,"Male","1st Yr","Suburb/Semi-Urban",-2.13329377480224,-2.69750505644194,-2.62233938323106,0.500026549818115
741,"Female","1st Yr","Suburb/Semi-Urban",1.59704941308,1.97841471731241,1.85947273204544,-1.19834206154699
742,"Male","4th Yr","Suburb/Semi-Urban",0.810320378687093,-0.00904642171080685,0.67490366748542,-0.0360294463704296
743,"Male","4th Yr","Suburb/Semi-Urban",1.73385395892761,0.863622522667922,1.32047041875534,-1.30975157897606
